Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Ireland,Premier Division,2025,02/05/2025,19:45,Cork City,Shamrock Rovers,1,1,D,4.69,3.69,1.79,4.75,3.69,1.83,4.45,3.49,1.78,4.9,3.7,1.87,,,
Ireland,Premier Division,2025,02/05/2025,19:45,Derry City,Shelbourne,2,0,H,2.33,3.01,3.59,2.33,3.2,3.6,2.21,3,3.49,2.34,3.1,3.85,,,
Ireland,Premier Division,2025,02/05/2025,19:45,Sligo Rovers,Drogheda,2,2,D,2.63,3.26,2.84,2.65,3.26,2.84,2.58,3.15,2.7,2.78,3.25,2.92,,,
Ireland,Premier Division,2025,02/05/2025,19:45,St. Patricks,Galway,2,0,H,1.91,3.52,4.31,1.92,3.6,4.31,1.88,3.4,4.05,1.95,3.55,4.7,,,
Ireland,Premier Division,2025,05/05/2025,17:00,Drogheda,Cork City,3,2,H,1.9,3.57,4.26,1.93,3.57,4.5,1.85,3.44,4.14,1.98,3.55,4.5,,,
Ireland,Premier Division,2025,05/05/2025,17:00,Galway,Bohemians,1,2,A,2.86,3.32,2.58,2.86,3.32,2.7,2.72,3.17,2.55,2.92,3.35,2.76,,,
Ireland,Premier Division,2025,05/05/2025,17:00,Shelbourne,Waterford,0,1,A,1.47,4.24,7.87,1.5,4.24,7.87,1.46,4.03,7.18,1.52,4.4,8.2,,,
Ireland,Premier Division,2025,05/05/2025,19:00,Shamrock Rovers,Sligo Rovers,2,0,H,1.31,5.45,10.06,1.38,5.45,10.06,1.3,5.09,9.23,1.34,5.7,12,,,
Ireland,Premier Division,2025,05/05/2025,19:45,Derry City,St. Patricks,1,0,H,2.04,3.23,4.15,2.35,3.23,4.2,2.07,3.08,3.79,2.14,3.2,4.4,,,
Ireland,Premier Division,2025,09/05/2025,19:45,Cork City,Derry City,1,2,A,5.27,3.4,1.79,5.5,3.5,1.81,5.07,3.31,1.74,5.6,3.5,1.83,,,
Ireland,Premier Division,2025,09/05/2025,19:45,Shamrock Rovers,Drogheda,3,0,H,1.47,4.15,8.05,1.47,4.2,8.16,1.44,4.01,7.62,1.5,4.3,8.8,,,
Ireland,Premier Division,2025,09/05/2025,19:45,Shelbourne,St. Patricks,2,1,H,2.51,3.12,3.13,2.51,3.12,3.2,2.41,3.02,3.04,2.58,3.2,3.25,,,
Ireland,Premier Division,2025,09/05/2025,19:45,Waterford,Galway,1,0,H,3.21,3.53,2.25,3.5,3.53,2.25,3.21,3.3,2.18,3.4,3.5,2.3,,,
Ireland,Premier Division,2025,10/05/2025,19:45,Sligo Rovers,Bohemians,0,1,A,4.18,3.77,1.86,4.18,3.85,1.92,3.89,3.58,1.86,4.5,3.9,1.9,,,
Ireland,Premier Division,2025,16/05/2025,19:45,Bohemians,Shelbourne,1,0,H,2.38,3.15,3.32,2.44,3.2,3.32,2.31,3.08,3.16,2.42,3.2,3.5,,,
Ireland,Premier Division,2025,16/05/2025,19:45,Drogheda,Derry City,1,1,D,3.91,3.26,2.1,3.91,3.26,2.25,3.63,3.05,2.15,4,3.15,2.22,,,
Ireland,Premier Division,2025,16/05/2025,19:45,Galway,Sligo Rovers,0,1,A,1.61,4,5.82,1.69,4.04,5.82,1.62,3.88,5.16,1.65,4.1,6.2,,,
Ireland,Premier Division,2025,16/05/2025,19:45,St. Patricks,Cork City,3,2,H,1.41,4.73,8.06,1.41,4.73,8.81,1.38,4.53,7.79,1.42,4.8,10.5,,,
Ireland,Premier Division,2025,16/05/2025,19:45,Waterford,Shamrock Rovers,1,3,A,5.32,3.75,1.7,5.5,3.85,1.72,4.98,3.69,1.67,5.5,3.95,1.74,,,
Ireland,Premier Division,2025,19/05/2025,19:45,Shelbourne,Drogheda,0,0,D,1.91,3.46,4.38,1.95,3.46,4.4,1.9,3.33,4.17,1.97,3.45,4.8,,,
Ireland,Premier Division,2025,19/05/2025,20:00,Shamrock Rovers,St. Patricks,4,0,H,1.83,3.47,4.87,1.85,3.6,4.87,1.79,3.47,4.51,1.86,3.75,5,,,
Ireland,Premier Division,2025,23/05/2025,19:45,Derry City,Shamrock Rovers,1,2,A,2.73,2.95,3,2.79,2.96,3,2.69,2.91,2.84,2.82,3,3.15,,,
Ireland,Premier Division,2025,23/05/2025,19:45,Drogheda,Bohemians,1,0,H,3.26,3.27,2.35,3.26,3.33,2.45,3.05,3.21,2.32,3.3,3.35,2.4,,,
Ireland,Premier Division,2025,23/05/2025,19:45,Galway,Cork City,2,1,H,1.72,3.79,5.06,1.76,3.79,5.4,1.7,3.63,4.93,1.77,3.85,5.4,,,
Ireland,Premier Division,2025,23/05/2025,19:45,Shelbourne,Sligo Rovers,3,2,H,1.64,3.96,5.58,1.65,3.96,5.58,1.61,3.89,5.26,1.67,4.1,6,,,
Ireland,Premier Division,2025,23/05/2025,19:45,St. Patricks,Waterford,2,2,D,1.46,4.75,6.76,1.5,4.75,6.76,1.45,4.51,6.25,1.48,4.9,7.6,,,
Ireland,Premier Division,2025,30/05/2025,19:45,Bohemians,Derry City,1,0,H,2.32,3.1,3.51,2.33,3.2,3.51,2.27,3.06,3.31,2.42,3.1,3.65,,,
Ireland,Premier Division,2025,30/05/2025,19:45,Cork City,Shelbourne,1,1,D,3.49,3.32,2.22,3.55,3.32,2.23,3.43,3.21,2.14,3.7,3.45,2.22,,,
Ireland,Premier Division,2025,30/05/2025,19:45,Sligo Rovers,St. Patricks,0,1,A,3.64,3.72,2.01,3.64,3.72,2.06,3.47,3.56,2,4,3.75,2.02,,,
Ireland,Premier Division,2025,30/05/2025,19:45,Waterford,Drogheda,2,2,D,2.62,3.46,2.72,2.7,3.46,2.72,2.59,3.29,2.65,2.76,3.5,2.78,,,
Ireland,Premier Division,2025,30/05/2025,20:00,Shamrock Rovers,Galway,0,0,D,1.56,3.96,6.7,1.56,4.4,6.7,1.52,4.03,6.09,1.61,4.3,6.6,,,
Ireland,Premier Division,2025,13/06/2025,19:45,Cork City,Bohemians,0,2,A,4.01,3.63,1.94,4.2,3.63,1.94,3.79,3.39,1.85,4.2,3.65,2,,,
Ireland,Premier Division,2025,13/06/2025,19:45,Derry City,Galway,1,1,D,1.81,3.47,4.96,1.9,3.5,4.96,1.8,3.31,4.2,1.92,3.45,5.1,,,
Ireland,Premier Division,2025,13/06/2025,19:45,Shelbourne,Shamrock Rovers,1,2,A,4,3.08,2.15,4,3.15,2.15,3.51,3,2.08,4,3.2,2.22,,,
Ireland,Premier Division,2025,13/06/2025,19:45,St. Patricks,Drogheda,0,0,D,1.77,3.77,4.73,1.77,3.8,4.73,1.71,3.53,4.39,1.81,3.8,5.1,,,
Ireland,Premier Division,2025,14/06/2025,19:45,Sligo Rovers,Waterford,1,0,H,2.3,3.65,3.02,2.38,3.65,3.02,2.27,3.43,2.75,2.42,3.75,3.05,,,
Ireland,Premier Division,2025,16/06/2025,19:45,Drogheda,Shamrock Rovers,1,2,A,5.23,3.62,1.74,5.23,3.62,1.77,4.6,3.38,1.72,5.4,3.7,1.82,,,
Ireland,Premier Division,2025,16/06/2025,19:45,St. Patricks,Shelbourne,0,1,A,2.26,3.2,3.52,2.26,3.25,3.52,2.16,3.07,3.23,2.32,3.3,3.65,,,
Ireland,Premier Division,2025,20/06/2025,19:45,Drogheda,Sligo Rovers,1,0,H,1.91,3.53,4.26,1.91,3.53,4.35,1.81,3.34,4.08,1.96,3.7,4.4,,,
Ireland,Premier Division,2025,20/06/2025,19:45,Galway,St. Patricks,3,1,H,2.97,3.15,2.6,2.97,3.25,2.6,2.79,3.03,2.46,3.05,3.3,2.66,,,
Ireland,Premier Division,2025,20/06/2025,19:45,Shamrock Rovers,Cork City,4,1,H,1.29,5.4,11.74,1.29,6,13,1.24,5.29,10.47,1.31,5.7,15,,,
Ireland,Premier Division,2025,20/06/2025,19:45,Shelbourne,Derry City,0,1,A,2.66,2.76,3.33,2.66,2.88,3.33,2.48,2.75,3.04,2.7,2.88,3.45,,,
Ireland,Premier Division,2025,20/06/2025,19:45,Waterford,Bohemians,2,1,H,3.49,3.69,2.07,3.5,3.7,2.07,3.31,3.47,1.98,3.7,3.75,2.14,,,
Ireland,Premier Division,2025,23/06/2025,19:45,Bohemians,Shamrock Rovers,2,0,H,3.35,3.15,2.36,3.4,3.25,2.36,3.22,3.06,2.17,3.75,3.25,2.32,,,
Ireland,Premier Division,2025,23/06/2025,19:45,Cork City,Drogheda,1,1,D,2.89,3.33,2.55,2.9,3.4,2.55,2.76,3.2,2.36,3,3.4,2.66,,,
Ireland,Premier Division,2025,23/06/2025,19:45,Sligo Rovers,Galway,2,1,H,3.5,3.59,2.1,3.5,3.59,2.1,3.22,3.35,2.04,3.6,3.65,2.18,,,
Ireland,Premier Division,2025,23/06/2025,19:45,St. Patricks,Derry City,0,1,A,2.34,3.08,3.48,2.35,3.2,3.48,2.26,2.96,3.12,2.42,3.2,3.55,,,
Ireland,Premier Division,2025,23/06/2025,19:45,Waterford,Shelbourne,2,2,D,2.86,3.37,2.55,2.86,3.37,2.55,2.7,3.17,2.43,3.05,3.35,2.62,,,
Ireland,Premier Division,2025,27/06/2025,19:45,Bohemians,Sligo Rovers,1,1,D,1.31,5.75,9.07,1.31,5.75,10,1.26,5.28,8.85,1.32,6.2,11.5,,,
Ireland,Premier Division,2025,27/06/2025,19:45,Cork City,St. Patricks,0,0,D,4.32,3.76,1.83,4.32,3.76,1.85,3.98,3.46,1.8,4.5,3.85,1.91,,,
Ireland,Premier Division,2025,27/06/2025,19:45,Derry City,Drogheda,3,0,H,1.58,3.69,7.17,1.62,3.7,7.17,1.57,3.39,6.09,1.65,3.7,7.6,,,
Ireland,Premier Division,2025,27/06/2025,19:45,Galway,Shelbourne,1,1,D,3.09,3.14,2.52,3.1,3.14,2.55,2.84,3.02,2.42,3.1,3.25,2.62,,,
Ireland,Premier Division,2025,27/06/2025,20:00,Shamrock Rovers,Waterford,1,0,H,1.25,6.03,11.47,1.3,6.03,11.47,1.24,5.34,9.78,1.31,6,13,,,
Ireland,Premier Division,2025,04/07/2025,19:45,Derry City,Waterford,7,2,H,1.5,4.24,7.05,1.53,4.24,7.05,1.47,3.94,6.15,1.53,4.4,8,,,
Ireland,Premier Division,2025,04/07/2025,19:45,Drogheda,Galway,1,0,H,2.59,3.2,2.95,2.59,3.2,2.95,2.44,3.03,2.81,2.7,3.2,3.05,,,
Ireland,Premier Division,2025,04/07/2025,19:45,Shelbourne,Cork City,3,1,H,1.47,4.28,7.54,1.48,4.5,7.54,1.42,4.11,6.75,1.5,4.5,8.2,,,
Ireland,Premier Division,2025,04/07/2025,19:45,St. Patricks,Bohemians,0,0,D,2.54,3.33,2.9,2.54,3.35,2.9,2.41,3.19,2.72,2.58,3.5,3,,,
Ireland,Premier Division,2025,05/07/2025,19:45,Sligo Rovers,Shamrock Rovers,2,2,D,7.38,4.5,1.46,7.38,4.6,1.46,6.67,4.3,1.4,8,4.9,1.47,,,
Ireland,Premier Division,2025,11/07/2025,19:45,Bohemians,Galway,3,0,H,1.52,4.29,6.54,1.52,4.29,6.54,1.49,4,5.7,1.57,4.5,6.6,,,
Ireland,Premier Division,2025,11/07/2025,19:45,Waterford,Cork City,2,0,H,2.2,3.59,3.26,2.2,3.59,3.3,2.07,3.39,3.14,2.18,3.65,3.6,,,
Ireland,Premier Division,2025,12/07/2025,19:45,Sligo Rovers,Derry City,2,0,H,4.72,3.7,1.79,5,3.7,1.79,4.54,3.41,1.72,5,3.8,1.83,,,
Ireland,Premier Division,2025,25/07/2025,19:45,Cork City,Sligo Rovers,2,3,A,2.35,3.42,3.11,2.5,3.42,3.11,2.38,3.19,2.74,2.52,3.5,3.05,,,
Ireland,Premier Division,2025,25/07/2025,19:45,Derry City,Bohemians,1,1,D,2.27,3.18,3.53,2.35,3.18,3.53,2.22,2.99,3.2,2.28,3.35,3.7,,,
Ireland,Premier Division,2025,25/07/2025,19:45,Galway,Waterford,2,4,A,1.86,3.85,4.08,1.95,3.85,4.08,1.87,3.44,3.68,2.02,3.85,4,,,
Ireland,Premier Division,2025,01/08/2025,19:45,Bohemians,Drogheda,0,1,A,1.57,4.01,6.35,1.57,4.2,6.5,1.5,3.86,5.96,1.6,4.1,7.4,,,
Ireland,Premier Division,2025,01/08/2025,19:45,Cork City,Galway,1,0,H,3.3,3.51,2.22,3.3,3.6,2.25,3,3.31,2.17,3.5,3.65,2.26,,,
Ireland,Premier Division,2025,02/08/2025,19:45,Sligo Rovers,Shelbourne,0,2,A,3.7,3.46,2.08,3.7,3.46,2.15,3.21,3.23,2.1,3.4,3.45,2.3,,,
Ireland,Premier Division,2025,03/08/2025,16:00,Waterford,St. Patricks,0,2,A,3.8,3.6,2.01,3.8,3.65,2.01,3.46,3.41,1.94,3.85,3.8,2.06,,,
Ireland,Premier Division,2025,03/08/2025,19:00,Shamrock Rovers,Derry City,2,0,H,2.05,3.29,4.04,2.05,3.29,4.33,1.97,3.03,3.87,2.14,3.2,4.4,,,
Ireland,Premier Division,2025,08/08/2025,19:45,Derry City,Cork City,0,0,D,1.28,5.57,11.75,1.27,5.25,15,1.24,5.09,11,1.26,6.2,18,,,
Ireland,Premier Division,2025,08/08/2025,19:45,Drogheda,Waterford,0,0,D,1.97,3.5,4.04,1.96,3.7,4.2,1.85,3.42,3.71,1.99,3.75,4.1,,,
Ireland,Premier Division,2025,09/08/2025,17:00,Shelbourne,Bohemians,2,2,D,2.86,3.19,2.66,3.3,3.2,2.35,3.1,3.05,2.21,3.4,3.3,2.48,,,
